./pong Version 1.7 [Debug Build Jun  3 2017 17:02:06]
Trace<2017-06-03 17:02:11.000004: ./ping-pong-main.cpp: 108> int _al_mangled_main(int, char **);
Trace<2017-06-03 17:02:11.000014: ./config-manager.cpp:  40>   char **GetParameters(int *, char *);
Trace<2017-06-03 17:02:11.000092: ./d-allegro.cpp:1490>   bool CreateGameData(int, char **);
Trace<2017-06-03 17:02:11.000125: ./d-allegro.cpp:1636>   bool InitGame();
Trace<2017-06-03 17:02:11.016189: ./d-allegro.cpp: 401>     bool LoadFont(PongData *, int);
Trace<2017-06-03 17:02:11.017495: ./d-allegro.cpp: 401>     bool LoadFont(PongData *, int);
Trace<2017-06-03 17:02:11.017835: ./d-allegro.cpp: 401>     bool LoadFont(PongData *, int);
Trace<2017-06-03 17:02:11.127171: ./d-allegro.cpp: 300>     bool LoadPlayerBitmap(GameEntity *, int);
Trace<2017-06-03 17:02:11.128609: ./d-allegro.cpp: 300>     bool LoadPlayerBitmap(GameEntity *, int);
Trace<2017-06-03 17:02:11.129550: ./d-allegro.cpp: 326>     bool LoadBitmap(GameEntity *);
Trace<2017-06-03 17:02:11.130342: ./d-allegro.cpp: 352>     bool LoadAudio(Player *);
Trace<2017-06-03 17:02:11.130436: ./d-allegro.cpp: 352>     bool LoadAudio(Player *);
Trace<2017-06-03 17:02:11.130503: ./d-allegro.cpp: 375>     bool LoadWinAudio(PongData *);
Trace<2017-06-03 17:02:11.130763: ./d-allegro.cpp: 442>     void InitialPosition(PongData *);
Trace<2017-06-03 17:02:11.130773: ./d-allegro.cpp: 283>     void SetBackgroundColor(ALLEGRO_COLOR);
Trace<2017-06-03 17:02:11.130802: ./d-allegro.cpp:1744>   void GameRun();
Trace<2017-06-03 17:02:11.130805: ./d-allegro.cpp: 283>     void SetBackgroundColor(ALLEGRO_COLOR);
Trace<2017-06-03 17:02:11.130812: ./d-allegro.cpp: 759>     bool DisplayTextAndWaitBegin(PongData *);
Trace<2017-06-03 17:02:11.130815: ./d-allegro.cpp: 726>       int DrawText(PongData *, char *, int, int, int);
Trace<2017-06-03 17:02:11.131855: ./d-allegro.cpp: 726>       int DrawText(PongData *, char *, int, int, int);
Trace<2017-06-03 17:02:11.132374: ./d-allegro.cpp: 726>       int DrawText(PongData *, char *, int, int, int);
Trace<2017-06-03 17:02:11.133107: ./d-allegro.cpp: 726>       int DrawText(PongData *, char *, int, int, int);
Trace<2017-06-03 17:02:11.133323: ./d-allegro.cpp: 726>       int DrawText(PongData *, char *, int, int, int);
Trace<2017-06-03 17:02:11.133966: ./d-allegro.cpp: 640>       bool PressAnyKeyToBegin(PongData *);
Trace<2017-06-03 17:02:11.133974: ./d-allegro.cpp: 644>       bool PressAnyKeyToBegin(PongData *);
Trace<2017-06-03 17:02:11.237636: ./d-allegro.cpp:1354>     bool GameLoop(PongData *);
Trace<2017-06-03 17:02:11.237683: ./d-allegro.cpp:1030>       void StartTimers(PongData *);
Trace<2017-06-03 17:02:11.237759: ./d-allegro.cpp: 992>       void PlaySound(ALLEGRO_SAMPLE *);
Trace<2017-06-03 17:02:11.237866: ./d-allegro.cpp:1399>     bool GameLoop(PongData *);
Trace<2017-06-03 17:02:11.237874: ./d-allegro.cpp: 567>       bool ProcessKeyPress(PongData *);
Trace<2017-06-03 17:02:11.238886: ./d-allegro.cpp:1399>     bool GameLoop(PongData *);
Trace<2017-06-03 17:02:11.238934: ./d-allegro.cpp: 567>       bool ProcessKeyPress(PongData *);
Trace<2017-06-03 17:02:11.238948: ./d-allegro.cpp: 685>       void MovePaddles(PongData *);
Trace<2017-06-03 17:02:11.238959: ./d-allegro.cpp:1200>       bool UpdateBallPosition(PongData *);
Trace<2017-06-03 17:02:11.238969: ./d-allegro.cpp:1157>         bool CheckPaletteCollision(PongData *);
Trace<2017-06-03 17:02:11.238979: ./d-allegro.cpp: 958>         bool CheckSideCollitions(PongData *);
Trace<2017-06-03 17:02:11.238989: ./d-allegro.cpp: 927>         bool CheckTopBottomCollision(PongData *);
Trace<2017-06-03 17:02:11.238999: ./d-allegro.cpp: 906>       void DrawObjects(PongData *);
Trace<2017-06-03 17:02:11.239008: ./d-allegro.cpp: 283>         void SetBackgroundColor(ALLEGRO_COLOR);
Trace<2017-06-03 17:02:11.239061: ./d-allegro.cpp: 886>         void DrawBitmapSection(GameEntity *);
Trace<2017-06-03 17:02:11.239169: ./d-allegro.cpp: 886>         void DrawBitmapSection(GameEntity *);
Trace<2017-06-03 17:02:11.239223: ./d-allegro.cpp: 867>         void DrawBitmap(GameEntity *);
Trace<2017-06-03 17:02:11.239759: ./d-allegro.cpp:1399>     bool GameLoop(PongData *);
Trace<2017-06-03 17:02:11.239781: ./d-allegro.cpp: 567>       bool ProcessKeyPress(PongData *);
Trace<2017-06-03 17:02:11.239793: ./d-allegro.cpp: 685>       void MovePaddles(PongData *);
Trace<2017-06-03 17:02:11.239802: ./d-allegro.cpp:1200>       bool UpdateBallPosition(PongData *);
